2018-07-05 10:22:20,234 [基金数据作业监控系统_Worker-1] INFO  JobSchedule.Jobs.TestJob [(null)] - 测试Job开启--------------
2018-07-05 10:22:20,250 [基金数据作业监控系统_Worker-1] INFO  JobSchedule.Jobs.TestJob [(null)] - 输出[{"Code":"Fund.MVC","Name":"Fund New Website"}]
2018-07-05 10:22:25,002 [基金数据作业监控系统_Worker-2] INFO  JobSchedule.Jobs.TestJob [(null)] - 测试Job开启--------------
2018-07-05 10:22:25,008 [基金数据作业监控系统_Worker-2] INFO  JobSchedule.Jobs.TestJob [(null)] - 输出[{"Code":"Fund.MVC","Name":"Fund New Website"}]
2018-07-05 10:22:30,002 [基金数据作业监控系统_Worker-3] INFO  JobSchedule.Jobs.TestJob [(null)] - 测试Job开启--------------
2018-07-05 10:22:30,007 [基金数据作业监控系统_Worker-3] INFO  JobSchedule.Jobs.TestJob [(null)] - 输出[{"Code":"Fund.MVC","Name":"Fund New Website"}]
2018-07-05 10:24:20,232 [基金数据作业监控系统_Worker-1] INFO  JobSchedule.Jobs.TestJob [(null)] - 测试Job开启--------------
2018-07-05 10:24:20,248 [基金数据作业监控系统_Worker-1] INFO  JobSchedule.Jobs.TestJob [(null)] - 输出[{"Code":"Fund.MVC","Name":"Fund New Website"}]
2018-07-05 10:24:25,002 [基金数据作业监控系统_Worker-2] INFO  JobSchedule.Jobs.TestJob [(null)] - 测试Job开启--------------
2018-07-05 10:24:25,054 [基金数据作业监控系统_Worker-2] INFO  JobSchedule.Jobs.TestJob [(null)] - 输出[{"Code":"Fund.MVC","Name":"Fund New Website"}]
2018-07-05 10:26:56,003 [基金数据作业监控系统_Worker-1] INFO  JobSchedule.Jobs.TestJob [(null)] - 测试Job开启--------------
2018-07-05 10:26:56,045 [基金数据作业监控系统_Worker-1] INFO  JobSchedule.Jobs.TestJob [(null)] - 输出[{"Code":"Fund.MVC","Name":"Fund New Website"}]
